,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
676017,CA,Canada,British Columbia,,,CA-BC,,2020-08-26,-11.0,9.0,166.0,-36.0,-38.0,8.0
676018,CA,Canada,British Columbia,,,CA-BC,,2020-08-27,-12.0,11.0,169.0,-38.0,-37.0,8.0
676019,CA,Canada,British Columbia,,,CA-BC,,2020-08-28,-13.0,7.0,163.0,-34.0,-36.0,6.0
676020,CA,Canada,British Columbia,,,CA-BC,,2020-08-29,-17.0,6.0,120.0,-29.0,-14.0,2.0
676021,CA,Canada,British Columbia,,,CA-BC,,2020-08-30,-13.0,0.0,115.0,-26.0,-15.0,1.0
676022,CA,Canada,British Columbia,,,CA-BC,,2020-08-31,-12.0,7.0,104.0,-38.0,-39.0,8.0
676023,CA,Canada,British Columbia,,,CA-BC,,2020-09-01,-11.0,9.0,156.0,-38.0,-37.0,9.0
676024,CA,Canada,British Columbia,,,CA-BC,,2020-09-02,-13.0,6.0,141.0,-37.0,-38.0,9.0
676025,CA,Canada,British Columbia,,,CA-BC,,2020-09-03,-13.0,9.0,152.0,-38.0,-38.0,8.0
676026,CA,Canada,British Columbia,,,CA-BC,,2020-09-04,-13.0,9.0,150.0,-35.0,-38.0,6.0
676027,CA,Canada,British Columbia,,,CA-BC,,2020-09-05,-17.0,5.0,126.0,-31.0,-19.0,3.0
676028,CA,Canada,British Columbia,,,CA-BC,,2020-09-06,-10.0,-1.0,176.0,-25.0,-18.0,0.0
676029,CA,Canada,British Columbia,,,CA-BC,,2020-09-07,-13.0,8.0,210.0,-45.0,-73.0,13.0
676030,CA,Canada,British Columbia,,,CA-BC,,2020-09-08,-12.0,9.0,141.0,-38.0,-38.0,9.0
676031,CA,Canada,British Columbia,,,CA-BC,,2020-09-09,-15.0,5.0,145.0,-39.0,-37.0,9.0
676032,CA,Canada,British Columbia,,,CA-BC,,2020-09-10,-15.0,8.0,145.0,-40.0,-37.0,9.0
676033,CA,Canada,British Columbia,,,CA-BC,,2020-09-11,-16.0,5.0,119.0,-37.0,-35.0,7.0
676034,CA,Canada,British Columbia,,,CA-BC,,2020-09-12,-20.0,3.0,64.0,-37.0,-14.0,5.0
676035,CA,Canada,British Columbia,,,CA-BC,,2020-09-13,-19.0,-1.0,42.0,-36.0,-16.0,4.0
676036,CA,Canada,British Columbia,,,CA-BC,,2020-09-14,-18.0,1.0,34.0,-44.0,-34.0,10.0
676037,CA,Canada,British Columbia,,,CA-BC,,2020-09-15,-15.0,6.0,78.0,-43.0,-32.0,10.0
676038,CA,Canada,British Columbia,,,CA-BC,,2020-09-16,-18.0,-1.0,75.0,-41.0,-34.0,9.0
676039,CA,Canada,British Columbia,,,CA-BC,,2020-09-17,-19.0,1.0,74.0,-43.0,-34.0,9.0
676040,CA,Canada,British Columbia,,,CA-BC,,2020-09-18,-17.0,1.0,65.0,-40.0,-32.0,8.0
676041,CA,Canada,British Columbia,,,CA-BC,,2020-09-19,-18.0,2.0,44.0,-38.0,-13.0,5.0
676042,CA,Canada,British Columbia,,,CA-BC,,2020-09-20,-14.0,0.0,107.0,-31.0,-13.0,3.0
676043,CA,Canada,British Columbia,,,CA-BC,,2020-09-21,-17.0,1.0,77.0,-42.0,-34.0,9.0
676044,CA,Canada,British Columbia,,,CA-BC,,2020-09-22,-16.0,4.0,107.0,-43.0,-32.0,9.0
676045,CA,Canada,British Columbia,,,CA-BC,,2020-09-23,-22.0,-3.0,15.0,-47.0,-34.0,11.0
676046,CA,Canada,British Columbia,,,CA-BC,,2020-09-24,-19.0,3.0,39.0,-47.0,-32.0,11.0
676047,CA,Canada,British Columbia,,,CA-BC,,2020-09-25,-17.0,2.0,51.0,-43.0,-32.0,9.0
676048,CA,Canada,British Columbia,,,CA-BC,,2020-09-26,-19.0,4.0,19.0,-41.0,-12.0,6.0
676049,CA,Canada,British Columbia,,,CA-BC,,2020-09-27,-15.0,0.0,74.0,-35.0,-13.0,4.0
